name,type,core,mem,kID,cycles,totalpower,dynpower,corepower,mempower,time,performance,normdynpowerDFS,normdynpowerDVFS,normtotalpowerDFS,normtotalpowerDVFS,effDFS,effDVFS,int_ins,int_bytes
fdtd2d,1,1200,900,1,898191,102.23,47.23,33.32,13.91,748,1,1,1,1,1,1,1,10,2.52
fdtd2d,1,1200,750,1,916197,101.34,46.34,32.72,13.62,763,0.98,0.98,0.93,0.99,0.97,0.99,1.01,10,2.52
fdtd2d,1,1200,600,1,942546,100.16,45.16,31.94,13.22,785,0.95,0.96,0.86,0.98,0.93,0.97,1.02,10,2.52
fdtd2d,1,1200,450,1,996293,98.11,43.11,30.64,12.47,830,0.9,0.91,0.78,0.96,0.9,0.94,1,10,2.52
fdtd2d,1,600,900,2,382379,112.59,57.59,41.42,16.18,637,0.59,0.6,0.38,0.74,0.42,0.79,1.4,10.63,2.19
fdtd2d,1,800,900,2,402747,126.49,71.49,51.06,20.43,503,0.74,0.74,0.55,0.84,0.58,0.89,1.27,10.63,2.19
fdtd2d,1,1000,900,2,419765,140.29,85.29,60.82,24.47,419,0.89,0.89,0.77,0.93,0.78,0.96,1.14,10.63,2.19
fdtd2d,1,1200,900,2,449712,151.21,96.21,68.79,27.42,374,1,1,1,1,1,1,1,10.63,2.19
fdtd2d,1,1200,750,2,460478,148.93,93.93,67.23,26.71,383,0.98,0.98,0.92,0.98,0.95,0.99,1.03,10.63,2.19
fdtd2d,1,1200,600,2,489051,143.78,88.78,63.71,25.07,407,0.92,0.92,0.83,0.95,0.89,0.97,1.03,10.63,2.19
fdtd2d,1,1200,450,2,575629,131.78,76.78,55.57,21.22,479,0.78,0.8,0.69,0.87,0.8,0.9,0.98,10.63,2.19
fdtd2d,1,600,900,3,500528,106.57,51.57,34.59,16.98,834,0.8,0.79,0.52,0.89,0.51,0.91,1.59,9.43,2.13
